datetime	alt	PRESSURE	AIR_TEMP	RAINFALL	MIXDEPTH	RELHUMID
05/18/10 22:00:00	500	943.8	286.2	0	1025.5	82.9
05/18/10 23:00:00	10	998.5	292	0	938.5	71.8
05/18/10 23:00:00	100	989.6	290.5	0	941.6	73.7
05/18/10 23:00:00	500	943.3	286	0	951.4	86.4
05/19/10 00:00:00	10	998.2	291.9	0	866.9	72.8
05/19/10 00:00:00	100	989	290.4	0	867.6	75
05/19/10 00:00:00	500	942.7	285.8	0	876.2	90
05/19/10 01:00:00	10	998.2	291	0	745.5	77
05/19/10 01:00:00	100	989	289.7	0	747	78.9
05/19/10 01:00:00	500	942.5	285.6	0	755.8	87.9
05/19/10 02:00:00	10	998.3	289.9	0	611.8	81.8
05/19/10 02:00:00	100	989.1	288.8	0	613.3	83.5
05/19/10 02:00:00	500	942.3	285.4	0	620.5	84.9
05/19/10 03:00:00	10	998.5	288.8	0	475.9	86.7
05/19/10 03:00:00	100	989.3	288	0	476.3	88.2
05/19/10 03:00:00	500	942.1	285.1	0	479.9	81.9
05/19/10 04:00:00	10	998.3	288.3	0	435.2	89.3
05/19/10 04:00:00	100	988.9	287.5	0	435.6	91
05/19/10 04:00:00	500	941.7	284.9	0	437.9	85.2
05/19/10 05:00:00	10	998.2	287.9	0	412.6	91.5
05/19/10 05:00:00	100	988.4	287.1	0	413.1	93.5
05/19/10 05:00:00	500	941.3	284.8	0	414.5	89.7
05/19/10 06:00:00	10	998	287.5	0	389	93.6
05/19/10 06:00:00	100	988	286.8	0	389.1	96
05/19/10 06:00:00	500	940.9	284.6	0	389.3	94.3
05/19/10 07:00:00	10	997.6	287.4	0	405.2	94.7
05/19/10 07:00:00	100	987.4	286.6	0	405.9	96.9
05/19/10 07:00:00	500	940.6	284.4	0	406.9	96.3
05/19/10 08:00:00	10	997.1	287.4	0	429.4	95.6
05/19/10 08:00:00	100	986.7	286.5	0	431.3	97.4
05/19/10 08:00:00	500	940.3	284.2	0	433.3	97.8
05/19/10 09:00:00	10	996.7	287.3	0	453.4	96.4
05/19/10 09:00:00	100	986.1	286.5	0	456.9	97.9
05/19/10 09:00:00	500	940	284.1	0	459.7	99.4
05/19/10 10:00:00	10	996.7	287.4	0	412.1	96.1
05/19/10 10:00:00	100	985.7	286.5	0	414.7	97.4
05/19/10 10:00:00	500	939.5	284.2	0	418.1	98.5
05/19/10 11:00:00	10	996.7	287.4	0	357.1	95.6
05/19/10 11:00:00	100	985.3	286.6	0	358.7	96.7
05/19/10 11:00:00	500	939.2	284.5	0	362.3	97.1
05/19/10 12:00:00	10	996.6	287.5	0	301.7	95
05/19/10 12:00:00	100	985	286.8	0	302.4	95.9
05/19/10 12:00:00	500	938.8	284.7	0	306	95.7
05/19/10 13:00:00	10	996.8	288	0.2	343.8	92.5
05/19/10 13:00:00	100	985.3	287	0.2	343.9	93.8
05/19/10 13:00:00	500	938.7	284.8	0.2	346.8	92.1
05/19/10 14:00:00	10	997	288.5	0.2	406.4	89.6
05/19/10 14:00:00	100	985.6	287.3	0.2	405.1	91.4
05/19/10 14:00:00	500	938.5	284.9	0.2	405.2	88
05/19/10 15:00:00	10	997.2	289	0.2	469.7	86.7
05/19/10 15:00:00	100	985.9	287.6	0.2	466.4	88.9
05/19/10 15:00:00	500	938.3	285	0.2	461.3	83.8
05/19/10 16:00:00	10	997.5	290	0	516.7	83.7
05/19/10 16:00:00	100	986.7	288.5	0	514.5	86.2
05/19/10 16:00:00	500	939	285.6	0	512.4	82.8
05/19/10 17:00:00	10	997.8	291	0	554.6	80.7
05/19/10 17:00:00	100	987.6	289.4	0	554.8	83.5
05/19/10 17:00:00	500	939.7	286.3	0	559.5	82.6
05/19/10 18:00:00	10	998.2	292	0	586.9	77.9
05/19/10 18:00:00	100	988.5	290.2	0	590	80.9
05/19/10 18:00:00	500	940.4	287	0	603.6	82.6
05/19/10 19:00:00	10	998.1	292.3	0	591	76.3
05/19/10 19:00:00	100	988.8	290.6	0	595.3	78.1
05/19/10 19:00:00	500	940.8	287.3	0	609.7	76.5
05/19/10 20:00:00	10	998.1	292.6	0	590.3	74.9
05/19/10 20:00:00	100	989	290.9	0	595	75.3
05/19/10 20:00:00	500	941.2	287.5	0	608.7	69.1
05/19/10 21:00:00	10	998	292.8	0	589.8	73.5
05/19/10 21:00:00	100	989.2	291.1	0	595	72.8
05/19/10 21:00:00	500	941.6	287.8	0	608	61.5
05/19/10 22:00:00	10	997.7	292.1	0	534.6	74.8
05/19/10 22:00:00	100	988.5	290.5	0	537.8	74.7
05/19/10 22:00:00	500	941.3	287.7	0	545.8	63.5
05/19/10 23:00:00	10	997.5	291.3	0	466.4	76.7
05/19/10 23:00:00	100	987.9	289.6	0	467.8	77.6
05/19/10 23:00:00	500	941	287.6	0	471.3	67.4
05/20/10 00:00:00	10	997.2	290.4	0	396.7	78.7
05/20/10 00:00:00	100	987.4	288.8	0	396.9	80.7
05/20/10 00:00:00	500	940.8	287.4	0	397.2	71.4
05/20/10 01:00:00	10	997.1	289.7	0	347.5	80.5
05/20/10 01:00:00	100	987.1	288.3	0	347.5	81.6
05/20/10 01:00:00	500	940.2	287.8	0	347.4	66.2
05/20/10 02:00:00	10	997	288.9	0	302.5	82.2
05/20/10 02:00:00	100	986.8	287.8	0	302.5	82
05/20/10 02:00:00	500	939.7	288.3	0	302.5	59.1
05/20/10 03:00:00	10	996.9	288.2	0	257.5	83.9
05/20/10 03:00:00	100	986.6	287.4	0	257.5	82.4
05/20/10 03:00:00	500	939.2	288.8	0	257.5	52.1
05/20/10 04:00:00	10	996.5	287.7	0	250	85.1
05/20/10 04:00:00	100	985.9	287.1	0	250	83.1
05/20/10 04:00:00	500	939	289.2	0	250	49.5
05/20/10 05:00:00	10	996.1	287.3	0	250	86.1
05/20/10 05:00:00	100	985.2	286.8	0	250	83.8
05/20/10 05:00:00	500	938.8	289.6	0	250	47.7
05/20/10 06:00:00	10	995.7	286.8	0	250	87.1
05/20/10 06:00:00	100	984.5	286.6	0	250	84.5
05/20/10 06:00:00	500	938.5	290	0	250	45.9
05/20/10 07:00:00	10	995.4	287	0	260.9	87.2
05/20/10 07:00:00	100	984.4	286.6	0	260.7	85.4
05/20/10 07:00:00	500	938.9	289.8	0	261.2	51.9
05/20/10 08:00:00	10	995.1	287.2	0	273.7	87.2
05/20/10 08:00:00	100	984.4	286.8	0	273.7	86.3
05/20/10 08:00:00	500	939.2	289.5	0	275.8	59.6
05/20/10 09:00:00	10	994.8	287.4	0	286.3	87.2
05/20/10 09:00:00	100	984.3	286.9	0	286.8	87.2
05/20/10 09:00:00	500	939.4	289.2	0	291.8	67.4
05/20/10 10:00:00	10	994.4	287.2	0	278	87.4
05/20/10 10:00:00	100	983.5	286.9	0	278.1	87.5
05/20/10 10:00:00	500	938.9	289.7	0	281.8	66.8
05/20/10 11:00:00	10	993.9	286.9	0	265.2	87.7
05/20/10 11:00:00	100	982.6	286.8	0	265.1	87.6
05/20/10 11:00:00	500	938.3	290.2	0	267	64.6
05/20/10 12:00:00	10	993.3	286.7	0	252.2	87.9
05/20/10 12:00:00	100	981.7	286.7	0	252.2	87.6
05/20/10 12:00:00	500	937.7	290.8	0	252.4	62.4
05/20/10 13:00:00	10	993.5	287.9	0	285.2	85.4
05/20/10 13:00:00	100	981.9	287.4	0	285.3	85.5
05/20/10 13:00:00	500	937.8	290.7	0	284.1	60.6
05/20/10 14:00:00	10	993.8	289.5	0	327	82.4
